z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.021328124999999996,3.3672258609198593,0.0,1494.8072686915054,0.28900450893849255,0.008649237042939793,0.006146581469261063,0.005062801414480948,0.07721893143956803,0.004902234298192464,0.14058877858227414,3.59340022520373e-05,2.0671421739849126e-06,0.7573934346088576
0.021351562499999997,3.417867719419436,0.0,1517.654383396739,0.2847223891337435,0.00766203533890794,0.00585402528137585,0.005072990068190628,0.07594073489903883,0.005125487302055803,0.1426452833166284,3.375568450058873e-05,1.846916835841421e-06,0.7576638411924662
0.021374999999999998,3.4632382101251324,0.0,1538.1930828152022,0.28099235835900466,0.006896418037992131,0.005545410729688716,0.005036919050768161,0.07493724566628715,0.005307623318535272,0.14431781622399148,3.184624321739361e-05,1.6632683867858089e-06,0.7579250574611328
0.0213984375,3.504080783681076,0.0,1556.743623645833,0.27771719406497414,0.006296766730968016,0.00523350318632401,0.004965876439533568,0.07414833763538764,0.005453643871271493,0.1456936214169377,3.015465137708146e-05,1.5088922823296523e-06,0.7581765871759181
0.021421875,3.5410186046300245,0.0,1573.5737942222272,0.27482021499594506,0.00582039835373561,0.004927070220675336,0.004869481373553239,0.07352536269054938,0.005568452162807717,0.14684119985816277,2.864108941416634e-05,1.3780668553521052e-06,0.7584180161842463
0.0214453125,3.574571259551682,0.0,1588.906823779469,0.2722406226140502,0.005435236732174607,0.004631771676932693,0.004755573373664427,0.07302999195623645,0.005656604079741067,0.14781318181627942,2.727467349803157e-05,1.2663360673754617e-06,0.7586490993554059
0.021468749999999998,3.605171308950232,0.0,1602.928835774995,0.2699298958266417,0.005117541494332985,0.004350971374456776,0.004630323705760722,0.07263259107225065,0.005722180687717301,0.14864941257094866,2.603145114419867e-05,1.1702157898129926e-06,0.7588697774275991
0.021492187499999996,3.6331791713704322,0.0,1615.7953485019582,0.2678490324660839,0.004849929475918287,0.00408640656446182,0.004498456026790759,0.07231054500282252,0.005768745521858011,0.14937978013356384,2.4892764393489564e-05,1.0869619161189415e-06,0.7590801575482751
0.021515624999999997,3.658895796896412,0.0,1627.6366975465744,0.26596645248489725,0.0046197615828421105,0.0038387058841742095,0.004363502931780876,0.07204673989520548,0.005799355684880463,0.15002659696904974,2.3843965066869787e-05,1.0143957682006815e-06,0.7592804786912322
0.021539062499999997,3.6825730924626683,0.0,1638.5624303981092,0.26425640965432456,0.004417883088402234,0.0036077718538659255,0.00422805800154593,0.07182827879575573,0.005816605478481454,0.15060650478728252,2.2873428511390213e-05,9.507740042364973e-07,0.7594710737921506
0.0215625,3.7044222777258597,0.0,1648.6647829015064,0.26269779162748597,0.004237668854026027,0.0033930518304697813,0.004094008443039241,0.07164543170497759,0.005822692324965249,0.15113194625665186,2.1971823350816955e-05,8.94682001430992e-07,0.759652334080518
0.021609375,3.7431865966767095,0.0,1666.6401065759776,0.2599773054917705,0.003927670998360325,0.0030096061233577664,0.0038342306746118604,0.07136409686081592,0.005807104456105226,0.15204793126397442,2.0353271956854754e-05,8.009600284059525e-07,0.7599882053907893
